prompt,label,classname
"kite (bird of prey) are medium-sized birds of prey with long wings, a forked tail, and a sharp, hooked beak. They come in various shades of brown, gray, and black.",21,kite (bird of prey)
"A symbol of the United States, bald eagles have a white head and tail, a dark brown body, and a large, yellow beak. They are known for their impressive wingspan and powerful talons.",22,bald eagle
"These large, scavenging vulture have a bald head, a hooked beak, and a hunched posture. They have dark brown or black feathers, and a broad wingspan for soaring.",23,vulture
"The largest owl species, the great grey owl has a rounded head, a distinctive facial disc, and piercing yellow eyes. They have a mix of gray and white feathers, giving them excellent camouflage.",24,great grey owl
"Sporting black and yellow or orange markings, fire salamanders are striking amphibians with a long, slender body and smooth, moist skin.",25,fire salamander
"This small smooth newt has a slender body, smooth skin, and a long, vertically flattened tail. They come in shades of brown or green, with a paler belly.",26,smooth newt
"Newts are small, semi-aquatic amphibians with slender bodies, smooth skin, and a vertically flattened tail. They come in various shades of brown, green, or orange, and may have spotted or striped patterns.",27,newt
"This large, black or dark grey spotted salamander is easily recognized by its distinct yellow or orange spots along its back. It has a stout body, short legs, and a long, rounded tail.",28,spotted salamander
"Known for their unique external gills and wide, flat head, axolotls are aquatic salamanders with a slender body and a long, laterally compressed tail. They come in various colors, including albino and leucistic varieties.",29,axolotl
"This large, green or brown American bullfrog is characterized by its robust body, webbed hind feet, and prominent tympanum (ear) on each side of the head. Males have a bright yellow throat during the breeding season.",30,American bullfrog
"Tree frogs are small, arboreal frogs with slender bodies, vibrant colors, and enlarged, adhesive toe pads that enable them to climb trees and other surfaces.",31,tree frog
"The tailed frog has a small, stout body, large eyes, and a distinct, fleshy tail-like appendage in males, used for reproduction. Its color ranges from brown to green, with a lighter underbelly.",32,tailed frog
"This large loggerhead sea turtle turtle has a broad, reddish-brown carapace (shell) and a large head with powerful jaws. Its flippers are paddle-like, allowing it to navigate the ocean with ease.",33,loggerhead sea turtle
"The largest leatherback sea turtle turtle species, the leatherback has a unique, leathery carapace with seven ridges running lengthwise. Its body is dark, with white or pale spots and large, paddle-like flippers.",34,leatherback sea turtle
"Mud turtles have a small, domed shell that can be brown, black, or olive-green. They have a yellow or orange stripe on each side of the head and webbed feet for swimming.",35,mud turtle
"Terrapins are small to medium-sized turtles with a flattened shell and a distinct pattern of concentric rings or streaks. They have webbed feet with strong claws, suited for both aquatic and terrestrial environments.",36,terrapin
"Known for their high-domed shell and hinged lower shell (plastron), box turtles can completely close their shell for protection. They have a stout body, a short, thick tail, and strong, clawed feet.",37,box turtle
"These small, nocturnal banded gecko have a slender body, large eyes with vertical pupils, and a banded pattern of alternating light and dark stripes along their body and tail.",38,banded gecko
"The green iguana is a large, arboreal lizard with a distinct row of spines along its back and tail. It has a bright green color, a dewlap under its throat, and strong, clawed feet for climbing.",39,green iguana
"Also known as the green Carolina anole, this small lizard has a slender body, a long tail, and the ability to change color from green to brown. Males have a brightly colored dewlap used for territorial displays.",40,Carolina anole
"This desert grassland whiptail lizard, long-tailed lizard has a light brown or olive-green body with light stripes running along its sides. It has a pointed snout and is known for its fast, agile movements.",41,desert grassland whiptail lizard
"Agamas are medium-sized lizards with a flattened body, a triangular head, and a long, tapering tail.",42,agama
"This unique frilled-necked lizard is known for its large frill around the neck, which can be expanded when threatened or during courtship. It has a slender body, a long tail, and is usually brown or grey with spots or bands.",43,frilled-necked lizard
"With a long, slender body, short legs, and a triangular head, alligator lizards resemble miniature alligators. They have a row of dorsal scales along their back and a long, tapered tail.",44,alligator lizard
"This venomous Gila monster is characterized by its stocky body, broad head, and distinctive beaded skin with a pattern of pink, orange, or yellow bands on a black or dark brown background.",45,Gila monster
"This brightly colored European green lizard has a vibrant green body with dark spots or stripes, a blue throat (in males), and a long, slender tail. They have a robust build and are agile climbers.",46,European green lizard
"Known for their remarkable color-changing abilities, chameleons are unique reptiles with a laterally compressed body, a prehensile tail, and independently moving eyes. They have specialized, turret-like feet for gripping branches.",47,chameleon
"The largest living lizard, Komodo dragons have a robust, muscular body, a large, powerful head, and a long, thick tail. Their rough, scaly skin is usually grey or brown, and they have sharp claws and serrated teeth.",48,Komodo dragon
"This large, powerful reptile has a broad snout, thick scales, and a long, muscular tail. Its color ranges from dark green to brown, with a lighter underside. Nile crocodiles are known for their strong jaws and sharp teeth.",49,Nile crocodile
"Characterized by their dark, armored body and broad, rounded snout, American alligators have a powerful tail and sharp teeth. They are smaller than Nile crocodiles but still a formidable predator.",50,American alligator
"An herbivorous dinosaur, the triceratops had a massive, bony frill, three horns on its face, and a beak-like mouth. Its body was robust, with short, stout legs and a long tail.",51,triceratops
"These small, slender worm snake have a smooth, glossy appearance and are usually pink, brown, or gray. They have a blunt head and a short, pointed tail, resembling an earthworm.",52,worm snake
"This small, slender ring-necked snake is characterized by a distinct, brightly colored ring around its neck, usually yellow or orange. The body color varies from grey to black, and the underside is brightly colored.",53,ring-necked snake
"Known for its upturned, hog-like eastern hog-nosed snake, this snake has a stout body, keeled scales, and a variable color pattern. When threatened, it can flatten its neck, mimicking a cobra.",54,eastern hog-nosed snake
"This non-venomous smooth green snake is easily recognized by its bright, solid green color and smooth, shiny scales. It has a slender body, a small head, and large, round eyes.",55,smooth green snake
"Kingsnakes have a slender body and a bold pattern of alternating light and dark bands or stripes. They are known for their ability to kill and eat other snakes, including venomous species.",56,kingsnake
"These small, non-venomous garter snake have a slender body with longitudinal stripes running the length of their body. They come in various colors, including green, brown, and black, with a lighter belly.",57,garter snake
"Water snakes have a thick, robust body and a broad head. They come in various shades of brown or gray with dark markings, and are often mistaken for venomous snakes due to their appearance.",58,water snake
"These vine snake, arboreal snakes have a long, thin body that mimics the appearance of a vine. They are usually green or brown and have a pointed head with excellent camouflage abilities.",59,vine snake
"These small, nocturnal night snake have a gray or brown body with dark blotches or bands. They have a flat, triangular head and large, vertical pupils, adapted for hunting in low light conditions.",60,night snake
"This large, non-venomous snake has a thick, muscular body with a distinctive pattern of brown or reddish-brown saddles on a lighter background. Boa constrictors are known for their ability to constrict their prey.",61,boa constrictor
"This large, powerful African rock python has a thick, muscular body with a pattern of dark, irregular blotches on a lighter background. It has a large, triangular head and strong, curved teeth.",62,African rock python
"Recognizable by its hood, the Indian cobra has a slender body with a variable color pattern that can include bands, spots, or a solid color. It is one of the most venomous snakes in India.",63,Indian cobra
"The green mamba is a slender, arboreal snake with a bright, solid green color. It has a long, tapering tail and a slightly flattened head, and is known for its potent venom.",64,green mamba
"Sea snakes have a laterally compressed body and a paddle-like tail, adapted for their aquatic lifestyle. They come in various colors and patterns, and many species are venomous.",65,sea snake
"This venomous Saharan horned viper has a distinct, horn-like structure above each eye, giving it its name. It has a thick, robust body with a pattern of light and dark bands or blotches, providing excellent camouflage in desert environments.",66,Saharan horned viper
"One of the largest and most venomous eastern diamondback rattlesnake, the eastern diamondback has a thick body with a distinctive pattern of diamond-shaped markings on its back. It has a large, triangular head and a rattle at the end of its tail.",67,eastern diamondback rattlesnake
"Known for its distinctive sidewinder rattlesnake movement, this small rattlesnake has a thin body with a pattern of light and dark bands. Its head is broad and triangular, with a small rattle at the end of its tail.",68,sidewinder rattlesnake
"An extinct group of marine arthropods, trilobites had a hard, segmented exoskeleton with a distinct head, thorax, and tail. They came in various shapes and sizes, with some having spines or other ornamentation.",69,trilobite
"A harvestman of arachnid, harvestmen have a small, oval body and long, thin legs. They are often mistaken for spiders but lack the silk-producing organs and have a fused body structure.",70,harvestman
"Scorpions are nocturnal arachnids with a segmented body, a pair of large, claw-like pedipalps, and a long, segmented tail with a venomous stinger at the end. They come in various sizes and colors, with some having fluorescent properties under ultraviolet light.",71,scorpion
"This large, colorful yellow garden spider has a distinctive yellow and black striped pattern on its abdomen and a round, bulbous body. It spins a large, circular web in gardens and fields to capture prey.",72,yellow garden spider
"Similar in appearance to the yellow garden spider, the barn spider has a brown or grey body with a pattern of yellow, white, or beige spots on its abdomen. It is often found in barns or other outbuildings.",73,barn spider
"This large European garden spider has a circular body with a distinctive pattern of white or yellow spots on a brown background. It spins an intricate, orb-shaped web to catch flying insects.",74,European garden spider
"This venomous southern black widow has a glossy black body with a red hourglass-shaped marking on the underside of its abdomen. It spins irregular webs in dark, sheltered areas.",75,southern black widow
"These large, hairy tarantula have a thick, robust body and powerful legs. They come in various colors and patterns and are known for their venomous bite and ability to flick urticating hairs as a defense mechanism.",76,tarantula
"These large, hunting wolf spider have a robust, hairy body and long, spiny legs. They do not spin webs but instead hunt for prey on the ground or in foliage.",77,wolf spider
"These small, blood-sucking tick have a flattened body and a tough, leathery skin. They can transmit diseases such as Lyme disease and Rocky Mountain spotted fever.",78,tick
"These long, many-legged centipede have a flattened body and a pair of antennae on their head. They are fast-moving predators that feed on insects and other small prey.",79,centipede
This black grouse bird has a distinctive black plumage and a fan-shaped tail with white markings. The males have a bright red comb over their eyes and distinctive white markings on their wings.,80,black grouse
"This ptarmigan has a distinctive plumage that changes color seasonally, from brown in the summer to white in the winter. They have feathered feet and a small, round body adapted for life in alpine environments.",81,ptarmigan
This medium-sized ruffed grouse bird has a distinctive ruff of black feathers on its neck and a fan-shaped tail with a dark band. They have a mottled brown plumage and are found in forests and woodlands.,82,ruffed grouse
"These ground-dwelling prairie grouse have a short, stocky build and a distinctive lyre-shaped tail. They have a brown or gray plumage with intricate patterns on the feathers.",83,prairie grouse
"The male peafowl, or peacock, is known for its iridescent blue and green plumage and a fan-shaped tail with colorful eye-spots. The female, or peahen, is less colorful but still has a distinctive crest and a long, elegant neck.",84,peafowl
"These small, ground-dwelling quail have a plump body, a short tail, and a distinctive head crest. They have brown or grey plumage with intricate patterns on the feathers, providing excellent camouflage.",85,quail
"Partridges are medium-sized game birds with a plump body, short legs, and a small head. They have a brown, grey, or reddish plumage with intricate patterns, and males often have a distinctive dark patch on the breast.",86,partridge
"Known for their intelligence and mimicry abilities, African grey parrots have a predominantly grey plumage with a bright red tail. They have a robust build, a strong beak, and a distinctive white patch around the eyes.",87,african grey parrot
"These large, colorful macaw have a long tail, a strong curved beak, and a bright, vibrant plumage that can include shades of blue, green, red, and yellow. They are known for their intelligence and social behavior.",88,macaw
"This large, white sulphur-crested cockatoo has a distinctive yellow crest, a curved beak, and a raucous call. They are known for their playful and inquisitive nature and are often seen in large, noisy flocks.",89,sulphur-crested cockatoo
"These small, brightly colored lorikeet have a slender body, a long tail, and a brush-tipped tongue adapted for feeding on nectar. They come in a variety of vibrant colors, including blue, green, red, and yellow.",90,lorikeet
"These large, ground-dwelling coucal have a robust build, a long tail, and a distinctive head crest. They have a dark plumage with a glossy sheen, and are known for their deep, resonant calls.",91,coucal
"These colorful, bee eater birds have a long, curved bill, a bright plumage, and a distinctive tail with elongated central feathers. They are agile flyers and skilled at catching bees and other flying insects.",92,bee eater
"These large, tropical hornbill have a distinctive, large, curved bill with a casque on top. They have a robust build, a long tail, and a loud, resonant call. Their plumage is often a mix of black, white, and grey, with some species having bright colors on their face and throat.",93,hornbill
"These small, colorful hummingbird are known for their iridescent plumage, rapid wing beats, and ability to hover in midair. They have a slender, curved bill adapted for feeding on nectar, and come in a variety of vibrant colors.",94,hummingbird
"These jacamar, tropical birds have a long, pointed bill, a glossy plumage, and a short tail. They are agile hunters, catching insects in midair, and often have bright colors, such as green, blue, or bronze.",95,jacamar
"Known for their large, colorful bills, toucans have a robust body, a short neck, and a brightly colored plumage. They are primarily fruit-eaters and are found in the tropical forests of Central and South America.",96,toucan
"These duck have a round body, a flat bill, and webbed feet, adapted for swimming and dabbling for food. They come in various colors and patterns, with some species having bright, iridescent plumage.",97,duck
"This diving red-breasted merganser has a slender body, a thin, serrated bill, and a distinctive crest of feathers on its head. Males have a black and white plumage with a reddish-brown breast, while females have a brown and grey plumage.",98,red-breasted merganser
"These large goose have a long neck, a sturdy body, and webbed feet. They come in various colors and patterns, with some species having distinctive markings on the head or neck. Geese are known for their strong, honking calls.",99,goose
"This large, elegant black swan has a unique black plumage, a long, curved neck, and bright red bill. They are native to Australia and are often seen swimming gracefully on lakes and ponds.",100,black swan
"A term commonly used for an elephant with large tusks, tuskers are usually male African or Asian elephants. They have a massive body, large ears, and a long, prehensile trunk, with their tusks being their most distinctive feature.",101,tusker
"These small, egg-laying echidna have a spiny, hedgehog-like appearance and a long, slender snout. They are native to Australia and New Guinea and are known for their ability to burrow into the ground for protection.",102,echidna
"This unique, egg-laying platypus has a streamlined body, a flat, duck-like bill, and webbed feet. They are native to Australia and are known for their ability to locate prey using electroreception.",103,platypus
"These small to medium-sized wallaby have a stocky body, large hind legs, and a long, thick tail. They are native to Australia and are closely related to kangaroos.",104,wallaby
"These arboreal koala have a round, fuzzy body, large ears, and a distinctive, spoon-shaped nose. They are native to Australia and are known for their eucalyptus diet and sleepy demeanor.",105,koala
"These stocky, burrowing wombat have a thickset body, short legs, and a distinctive, bear-like face. They are native to Australia and are known for their ability to dig extensive burrows.",106,wombat
"These soft-bodied, gelatinous jellyfish animals have a bell-shaped body and long, trailing tentacles. They come in various sizes and colors, and many species have stinging cells on their tentacles for capturing prey.",107,jellyfish
"These marine sea anemone have a soft, cylindrical body and a crown of tentacles surrounding a central mouth. They come in various colors and patterns and are often found attached to rocks or other substrates in the ocean.",108,sea anemone
"This brain coral of stony coral has a distinctive, brain-like appearance, with a series of winding, maze-like ridges and valleys. They are found in warm, shallow waters and contribute to the structure of coral reefs.",109,brain coral
"These soft-bodied, invertebrate flatworm have a flattened, elongated body and a simple, bilateral body plan. They come in various sizes and colors and are found in both aquatic and terrestrial environments.",110,flatworm
"Also known as roundworms, nematodes are slender, unsegmented worms with a smooth, cylindrical body. They are found in various habitats, including soil, water, and inside other organisms as parasites.",111,nematode
"These large, conch snails have a distinctive, spiral shell and a strong, muscular foot. They are found in tropical waters and are known for their ornate shells and edible flesh.",112,conch
"These terrestrial or aquatic snail have a coiled shell and a muscular foot for locomotion. They come in various sizes and colors, and many species have a distinctive, spiral shell.",113,snail
"These soft-bodied, terrestrial slug have a flattened, elongated body and lack the protective shell found in snails. They come in various colors and sizes and are often found in damp environments.",114,slug
"These marine sea slug have a soft, elongated body and often display bright colors and patterns. Some species, called nudibranchs, lack a shell and are known for their unique, striking appearance.",115,sea slug
"These marine chiton have a distinctive, armored body composed of eight overlapping plates. They have a broad, flat foot for locomotion and are often found clinging to rocks in intertidal zones.",116,chiton
"This ancient chambered nautilus mollusk has a spiral, chambered shell and numerous tentacles surrounding a beak-like mouth. They are found in deep ocean waters and are known for their unique, intricate shell structure.",117,chambered nautilus
"This large, edible Dungeness crab has a broad, oval carapace covered in spines, and long, powerful claws. They are found along the Pacific coast of North America and are prized for their sweet, tender meat.",118,Dungeness crab
"These medium-sized rock crab have a flat, round carapace covered in small spines, and strong, robust claws. They are found in rocky intertidal zones and are known for their ability to blend in with their surroundings.",119,rock crab
"These small, colorful fiddler crab are known for their distinctively asymmetric claws, with one being much larger than the other. Males use their enlarged claw to attract mates and defend their territory.",120,fiddler crab
"This large, spiny red king crab has a distinctive red coloration, a fan-shaped carapace, and long, spindly legs. They are found in cold, northern waters and are prized for their sweet, tender meat.",121,red king crab
"This large, marine American lobster has a robust body, a pair of powerful claws, and a tough, spiny exoskeleton. They are found along the Atlantic coast of North America and are a popular seafood choice.",122,American lobster
"These marine spiny lobster have a long, cylindrical body, a pair of long, spiny antennae, and a tough exoskeleton. They lack the large claws of true lobsters and are found in warm, tropical waters.",123,spiny lobster
"These crayfish crustaceans have a compact, lobster-like body, a pair of large, pincer-like claws, and a fan-shaped tail. They are found in rivers, streams, and ponds, and are often used as bait or for consumption.",124,crayfish
"These small, marine or terrestrial hermit crab have a soft, coiled abdomen that they protect by occupying empty shells. They have a pair of pincer-like claws and are known for their habit of changing shells as they grow.",125,hermit crab
"These small, isopod have a flattened, segmented body and a pair of pincer-like claws. They are found in various habitats, from deep ocean floors to terrestrial environments like leaf litter.",126,isopod
"This large, wading white stork has a distinctive white plumage, a long neck, and long, red legs. They have a long, pointed beak and are known for their graceful, soaring flight and migratory habits.",127,white stork
"Similar in size and shape to the white stork, the black stork has a glossy black plumage, a long, red beak, and red legs. They are found in wooded wetlands and are more secretive than their white counterparts.",128,black stork
"These large, wading spoonbill have a distinctive, spoon-shaped bill, which they use to sweep through the water in search of small aquatic animals. They have a long neck, long legs, and come in various colors, depending on the species.",129,spoonbill
"These large, wading flamingo are known for their striking pink plumage, long neck, and long, thin legs. They have a unique, downward-curving bill, which they use to filter-feed on small aquatic organisms like brine shrimp and algae.",130,flamingo
"This small to medium-sized little blue heron has a dark blue-grey plumage, a long neck, and long legs. They are found in wetlands and coastal areas, where they hunt for fish and other aquatic animals.",131,little blue heron
"This large, wading great egret has a distinctive white plumage, a long neck, and long, black legs. They have a sharp, pointed bill and are found in wetlands and other aquatic habitats, where they hunt for fish and other prey.",132,great egret
"These secretive, wading bittern bird have a cryptic, streaked plumage, a thick neck, and long legs. They are found in marshes and wetlands, where they hunt for fish and other aquatic animals by standing motionless and striking quickly with their sharp bill.",133,bittern bird
"These large, wading crane bird have a slender body, a long neck, and long legs. They have a pointed bill and are known for their elaborate courtship dances and far-reaching calls. Cranes are found in various habitats, including wetlands, grasslands, and forests.",134,crane bird
"This medium-sized, wading bird has a dark, streaked plumage, a long neck, and long legs. They have a curved, pointed bill, which they use to extract snails and other mollusks from their shells. Limpkins are found in wetlands and other aquatic habitats.",135,limpkin
"This medium-sized, common gallinule has a dark, slate-grey plumage, a red and yellow bill, and long legs with large, lobed toes. They are found in marshes and other wetlands, where they feed on aquatic plants and small animals.",136,common gallinule
"This medium-sized, American coot has a dark, slate-grey plumage, a white bill, and long legs with large, lobed toes. They are found in ponds, lakes, and marshes, where they feed on aquatic plants and small animals.",137,American coot
"These large, terrestrial birds have a robust body, long legs, and a small head. They are found in grasslands and open habitats, where they feed on seeds, insects, and small animals. Bustards are known for their elaborate courtship displays and strong, fast-running abilities.",138,bustard
"This small, wading ruddy turnstone has a distinctive, mottled plumage, a short, pointed bill, and short legs. They are found along rocky and sandy shores, where they use their bill to flip over stones and other objects in search of invertebrates.",139,ruddy turnstone
"This small, wading dunlin has a brown and grey plumage, a long, slender bill, and medium-length legs. They are found in coastal and wetland habitats, where they feed on insects, crustaceans, and other small invertebrates.",140,dunlin
"This medium-sized, wading common redshank has a grey-brown plumage, a long, red-orange bill, and long, red-orange legs. They are found in wetlands and coastal habitats, where they feed on insects, worms, and other small invertebrates.",141,common redshank
"These medium-sized, wading dowitcher have a brown and grey plumage, a long, straight bill, and medium-length legs. They are found in wetland and coastal habitats, where they probe the mud with their bills to find small invertebrates.",142,dowitcher
"These distinctive, wading oystercatcher have a black and white plumage, a long, bright orange-red bill, and stout, pink legs. They are found along rocky and sandy shorelines, where they use their strong bills to pry open shellfish, such as oysters and mussels.",143,oystercatcher
"These large, waterbirds have a unique, long bill with a large, expandable throat pouch, which they use to scoop up fish. They have a stout body, short legs, and webbed feet. Pelicans are found in a variety of aquatic habitats, from coastal waters to inland lakes and rivers.",144,pelican
"These large, flightless king penguin have a distinctive black and white plumage, with a bright orange patch on the neck and a long, straight bill. They are found in the sub-Antarctic region, where they breed in large colonies and feed on fish and squid.",145,king penguin
"These large, seabirds have a streamlined body, a long, hooked bill, and extremely long wings, which allow them to glide effortlessly over vast distances. Albatrosses are found in oceanic habitats and are known for their impressive, long-distance migrations.",146,albatross
"These large, baleen grey whale have a mottled, grey-brown skin, a robust body, and a distinctive, arched mouth. They are found in the Pacific Ocean and are known for their long migrations between their feeding and breeding grounds.",147,grey whale
"These large, marine killer whale have a distinctive black and white coloration, a robust body, and a tall, triangular dorsal fin. They are found in oceans worldwide and are known for their advanced hunting techniques and complex social structure.",148,killer whale
"This herbivorous, marine dugong has a streamlined body, a large, paddle-like tail, and a unique, downturned snout. They are found in shallow, tropical waters, where they feed on seagrass and other aquatic plants.",149,dugong
"These large, marine sea lion have a streamlined body, a thick layer of blubber, and strong, flipper-like limbs. They are found along coastlines and are known for their playful behavior and impressive, underwater agility.",150,sea lion
"This small dog breed is known for its tiny size, large, erect ears, and prominent, round eyes. Chihuahuas come in various colors and coat types, and are often described as being alert and confident.",151,Chihuahua
"This small Japanese Chin breed has a compact body, a short, pushed-in face, and a luxurious, silky coat. They are known for their friendly, affectionate nature and their unique, cat-like agility.",152,Japanese Chin
"This small Maltese breed has a long, silky, white coat, a compact body, and a gentle, friendly temperament. They are popular as companion animals due to their affectionate nature and elegant appearance.",153,Maltese
"This small Pekingese breed has a flat face, a broad, wrinkled head, and a long, thick coat. They are known for their regal, dignified demeanor and were once highly prized by Chinese royalty.",154,Pekingese
"This small Shih Tzu breed has a distinctive, long, flowing coat, a short, pushed-in face, and a friendly, outgoing temperament. They are popular as companion animals due to their affectionate nature and charming appearance.",155,Shih Tzu
"Also known as the Cavalier King Charles Spaniel, this small dog breed has a compact body, a rounded head, and a silky, wavy coat. They are known for their affectionate and friendly nature, making them excellent companion animals.",156,King Charles Spaniel
"This small dog breed is characterized by its large, butterfly-like ears, a silky, flowing coat, and a lively, friendly temperament. Papillons are intelligent and easily trainable, making them popular as both companion and performance dogs.",157,Papillon
"These small, energetic dogs have a compact body, a sleek coat, and erect ears. Toy terriers come in various types, including the Toy Fox Terrier and the Russian Toy Terrier. They are known for their agility, intelligence, and spirited personalities.",158,toy terrier
"This large Rhodesian Ridgeback breed has a distinctive ridge of hair running along its back, a muscular body, and a short, sleek coat. They were originally bred in southern Africa for hunting and guarding and are known for their loyalty, intelligence, and protective nature.",159,Rhodesian Ridgeback
"This large dog breed is known for its elegant appearance, with a long, silky coat and a slim, athletic body. Afghan Hounds have a dignified and independent temperament and were originally bred for hunting in the mountainous regions of Afghanistan.",160,Afghan Hound
"This medium-sized dog breed has a distinctive, droopy appearance, with long ears, a wrinkled face, and a low-slung body. Basset Hounds are known for their excellent sense of smell and were originally bred for hunting small game, like rabbits.",161,Basset Hound
"This small to medium-sized dog breed has a compact body, a short coat, and a friendly, outgoing temperament. Beagles are known for their excellent sense of smell and were originally bred for hunting small game, like rabbits and hare.",162,Beagle
"This large dog breed is known for its powerful sense of smell, loose, wrinkled skin, and long, droopy ears. Bloodhounds have a gentle, friendly temperament and were originally bred for tracking humans and hunting game.",163,Bloodhound
"This Bluetick Coonhound to large-sized dog breed has a distinctive, mottled blue-black and white coat, long ears, and a strong, muscular body. They are known for their excellent sense of smell and were originally bred for hunting raccoons and other game.",164,Bluetick Coonhound
"This large Black and Tan Coonhound breed has a sleek, black and tan coat, long ears, and a strong, muscular body. They are known for their excellent sense of smell and were originally bred for hunting raccoons and other game, particularly at night.",165,Black and Tan Coonhound
"This Treeing Walker Coonhound to large-sized dog breed has a short, glossy coat that is typically white with black and tan markings. They are known for their agility, speed, and excellent sense of smell. Originally bred for hunting raccoons, they are called ""treeing"" because they chase their quarry up a tree and alert their handler with a distinctive bark.",166,Treeing Walker Coonhound
"This medium-sized English foxhound breed has a muscular body, a short coat that is usually white with black and tan markings, and a friendly, energetic temperament. They were originally bred for hunting foxes in England and are known for their stamina, agility, and keen sense of smell.",167,English foxhound
"This Redbone Coonhound to large-sized dog breed has a sleek, red coat, long ears, and a strong, muscular body. They are known for their excellent sense of smell and were originally bred for hunting raccoons and other game, particularly in the dense forests of the American South.",168,Redbone Coonhound
"Also known as the borzoi Wolfhound, this large dog breed has a long, slender body, a narrow head, and a silky, wavy coat. They were originally bred for hunting wolves and other large game in Russia and are known for their elegance, speed, and endurance.",169,borzoi
"This giant Irish Wolfhound breed has a muscular body, a rough coat, and a friendly, gentle temperament. They were originally bred in Ireland for hunting wolves and other large game and are now known for their loyalty, intelligence, and gentle nature.",170,Irish Wolfhound
"This small Italian Greyhound breed has a sleek, slender body, a short coat, and a graceful, elegant appearance. They are the smallest of the sighthounds and were originally bred for hunting small game and as companion animals. They are known for their affectionate, playful nature and their agility and speed.",171,Italian Greyhound
"This medium-sized Whippet breed has a slender, streamlined body, a short coat, and a gentle, friendly temperament. They were originally bred for hunting small game and racing in England and are known for their incredible speed and agility.",172,Whippet
"This medium-sized Ibizan Hound breed has a slender, elegant body, large, erect ears, and a short or wirehaired coat. They were originally bred for hunting rabbits on the island of Ibiza and are known for their agility, speed, and keen sense of sight and smell.",173,Ibizan Hound
"This medium-sized Norwegian Elkhound breed has a thick, gray coat, a muscular body, and a friendly, loyal temperament. They were originally bred for hunting large game, such as elk and bears, in Norway and are known for their endurance, intelligence, and strong sense of smell.",174,Norwegian Elkhound
"This large Otterhound breed has a rough, shaggy coat, a powerful body, and a friendly, boisterous temperament. They were originally bred for hunting otters in England and are known for their excellent sense of smell, strong swimming abilities, and endurance.",175,Otterhound
"This elegant, Saluki to large-sized dog breed has a slender body, long legs, and a silky, smooth or feathered coat. They were originally bred for hunting in the deserts of the Middle East and are known for their incredible speed, agility, and endurance.",176,Saluki
"This large Scottish Deerhound breed has a rough, wiry coat, a muscular body, and a gentle, dignified temperament. They were originally bred for hunting red deer in Scotland and are known for their speed, agility, and endurance.",177,Scottish Deerhound
